state,par,2.5%,50%,97.5%
New York,p_sym_if_inf,0.26421778987894384,0.6002137682930799,0.8626595300750387
New York,p_sev_if_sym,0.08250146303178553,0.27836935244020966,0.5798893288002618
New York,p_die_if_sev,0.05687268203446719,0.088872876299387,0.18879583512471726
New York,p_die_if_sym,0.0091677015769411,0.02582637764858875,0.04882995983653087
New York,p_diag_if_sym,0.020594750192602665,0.14847031828092805,0.5912464141234011
New York,p_diag_if_sev,0.3287216625013215,0.7951275285572077,0.9917990358788846
Michigan,p_sym_if_inf,0.3015077975434096,0.5926034774122092,0.8394863299495099
Michigan,p_sev_if_sym,0.08620893160710953,0.25718660471878374,0.5325855731339552
Michigan,p_die_if_sev,0.0931980908845893,0.12603304166788376,0.19263908805610297
Michigan,p_die_if_sym,0.011762950493398261,0.033111500965791435,0.061972880371391786
Michigan,p_diag_if_sym,0.024701120814461002,0.09168824269572899,0.26611274033085464
Michigan,p_diag_if_sev,0.2778886792871613,0.8024546729494759,0.9929096625633569
New Jersey,p_sym_if_inf,0.27451016495041014,0.5972433058317086,0.8520304653613173
New Jersey,p_sev_if_sym,0.08099293744603056,0.2580429230046825,0.524878924671675
New Jersey,p_die_if_sev,0.07830303906976313,0.11343993736094274,0.214519009396486
New Jersey,p_die_if_sym,0.011558645116770282,0.030422592174510238,0.05625615824189795
New Jersey,p_diag_if_sym,0.017856423187427112,0.13116945751660555,0.4478531377617205
New Jersey,p_diag_if_sev,0.2942733326610329,0.7929372219193598,0.9876055132976151
